similar,lost,noise
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
27494.0,81.0,81.0
