similar,lost,noise
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27573.0,2.0,2.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,2.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27575.0,0.0,1.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27574.0,1.0,1.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,2.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27574.0,1.0,2.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
27575.0,0.0,0.0
