similar,lost,noise
27440.0,135.0,135.0
27438.0,137.0,140.0
27439.0,136.0,139.0
27439.0,136.0,137.0
27438.0,137.0,138.0
27438.0,137.0,139.0
27438.0,137.0,140.0
27436.0,139.0,143.0
27438.0,137.0,139.0
27437.0,138.0,141.0
27435.0,140.0,142.0
27435.0,140.0,142.0
27439.0,136.0,140.0
27438.0,137.0,141.0
27441.0,134.0,135.0
27439.0,136.0,144.0
27438.0,137.0,143.0
27431.0,144.0,148.0
27441.0,134.0,139.0
27435.0,140.0,141.0
27436.0,139.0,146.0
27437.0,138.0,140.0
27436.0,139.0,144.0
27436.0,139.0,141.0
27435.0,140.0,141.0
27433.0,142.0,146.0
27438.0,137.0,138.0
27431.0,144.0,147.0
27436.0,139.0,142.0
27441.0,134.0,142.0
27439.0,136.0,138.0
27440.0,135.0,136.0
27441.0,134.0,141.0
27438.0,137.0,142.0
27430.0,145.0,150.0
27434.0,141.0,150.0
27433.0,142.0,147.0
27439.0,136.0,140.0
27438.0,137.0,142.0
27435.0,140.0,142.0
27436.0,139.0,141.0
27435.0,140.0,145.0
27438.0,137.0,141.0
27437.0,138.0,140.0
27442.0,133.0,134.0
27434.0,141.0,146.0
27437.0,138.0,142.0
27435.0,140.0,143.0
27436.0,139.0,148.0
27435.0,140.0,140.0
27438.0,137.0,141.0
27436.0,139.0,144.0
27434.0,141.0,147.0
27435.0,140.0,147.0
27434.0,141.0,143.0
27439.0,136.0,138.0
27437.0,138.0,141.0
27435.0,140.0,145.0
27429.0,146.0,150.0
27434.0,141.0,143.0
27442.0,133.0,135.0
27437.0,138.0,143.0
27440.0,135.0,144.0
27439.0,136.0,143.0
27439.0,136.0,137.0
27438.0,137.0,139.0
27435.0,140.0,142.0
27436.0,139.0,141.0
27440.0,135.0,137.0
27441.0,134.0,137.0
27435.0,140.0,143.0
27441.0,134.0,138.0
27437.0,138.0,142.0
27435.0,140.0,145.0
27433.0,142.0,146.0
27440.0,135.0,143.0
27440.0,135.0,139.0
27436.0,139.0,144.0
27438.0,137.0,140.0
27439.0,136.0,140.0
27431.0,144.0,147.0
27434.0,141.0,147.0
27441.0,134.0,139.0
27439.0,136.0,140.0
27440.0,135.0,137.0
27434.0,141.0,144.0
27433.0,142.0,145.0
27434.0,141.0,147.0
27436.0,139.0,142.0
27436.0,139.0,141.0
27440.0,135.0,136.0
27437.0,138.0,139.0
27436.0,139.0,142.0
27434.0,141.0,146.0
27440.0,135.0,140.0
27438.0,137.0,145.0
27439.0,136.0,140.0
27433.0,142.0,143.0
27441.0,134.0,139.0
27437.0,138.0,144.0
27434.0,141.0,146.0
27439.0,136.0,139.0
27436.0,139.0,141.0
27442.0,133.0,137.0
27437.0,138.0,143.0
27441.0,134.0,135.0
27435.0,140.0,147.0
27440.0,135.0,143.0
27439.0,136.0,138.0
27434.0,141.0,146.0
27436.0,139.0,142.0
27433.0,142.0,146.0
27433.0,142.0,144.0
27440.0,135.0,139.0
27436.0,139.0,143.0
27442.0,133.0,136.0
27438.0,137.0,140.0
27440.0,135.0,140.0
27440.0,135.0,137.0
27435.0,140.0,141.0
27436.0,139.0,142.0
